Title,Country,Year,Policy Status,Policy Type,Policy Target
"Electrical Easement Act (N° 29,701) ",Chile,2013,In Force ,Regulatory Instruments ,Multiple RE Sources>Power
Invest Chile Project,Chile,2005,In Force ,Economic Instruments>Direct investment>RD&D funding ,"Wind, Bioenergy>Biomass for power, Geothermal>Power, Hydropower, Multiple RE Sources>Power"
National Strategy for the Energy Sector ,Chile,2012 (February 28th),In Force ,Policy Support>Strategic planning ,Multiple RE Sources
Net metering (Regulation on Distributed Generation) 2014,Chile,2014 (Sept 6th),In Force ,Regulatory Instruments ,Multiple RE Sources
Non-conventional renewable energy law (Law 20.257) ,Chile,2008 (amended 2013),In Force ,"Regulatory Instruments, Regulatory Instruments>Obligation schemes  ","Bioenergy>Biomass for power, Geothermal, Multiple RE Sources, Ocean, Solar Thermal, Wind, Bioenergy, Hydropower"
Program for Rural and Social Energy (PERYS),Chile,2009,In Force ,"Policy Support, Economic Instruments, Regulatory Instruments ","Multiple RE Sources, Bioenergy, Wind, Solar>Solar photovoltaic, Solar Thermal>Solar heat"
Support for Non-Conventional Renewable Energy Development Programme,Chile,2012,In Force ,"Economic Instruments>Direct investment>Infrastructure investments, Economic Instruments>Direct investment>RD&D funding ","Bioenergy, Geothermal, Hydropower, Multiple RE Sources, Ocean, Solar, Solar Thermal, Wind"
12th Five Year Plan for National Strategic Emerging Industries ,China,2012 (July 9th),In Force ,"Policy Support, Policy Support>Strategic planning, Regulatory Instruments ","Multiple RE Sources, Multiple RE Sources>Power, Wind, Solar, Bioenergy"
2012 Renewable Energy Electricity feed-in tariff,China,2012 (June 12th),In Force ,Economic Instruments>Fiscal/financial incentives>Feed-in tariffs/premiums ,Multiple RE Sources
Adjustment of surcharge of renewable electricity generation ,China,2013 (Sept 25th),In Force ,"Economic Instruments>Fiscal/financial incentives>Feed-in tariffs/premiums, Economic Instruments>Fiscal/financial incentives ","Multiple RE Sources>All, Multiple RE Sources"
China 13th Electricity Development Five Year Plan (2016-2020) ,China,2016,In Force ,Policy Support>Strategic planning ,"Multiple RE Sources>Power, Multiple RE Sources>All, Bioenergy, Geothermal, Hydropower, Solar, Solar Thermal, Wind"
China 13th Energy Technology Innovation Five Year Plan (2016-2020),China,2016 (Dec 30th),In Force ,Policy Support>Strategic planning ,Multiple RE Sources>All
China 13th Renewable Energy Development Five Year Plan (2016-2020),China,2016 (Dec 10th),In Force ,Policy Support>Strategic planning ,Multiple RE Sources>All
China Energy Technology Innovation Action Plan 2016-2030,China,2016 (April 7th),In Force ,Policy Support>Strategic planning ,Multiple RE Sources>All
China Energy White Paper 2012,China,2012 (Oct 24th),In Force ,"Policy Support, Regulatory Instruments, Policy Support>Strategic planning ","Multiple RE Sources, Multiple RE Sources>Power, Bioenergy, Wind, Solar, Solar>Solar photovoltaic"
Energy saving and new energy automotive industry development plan 2012-2020,China,2012 (June 28th),In Force ,"Policy Support>Strategic planning, Regulatory Instruments ",Multiple RE Sources
Guidance about promoting new energy micro grid demonstration project,China,2015 (July 13th),In Force ,"Policy Support>Strategic planning, Regulatory Instruments, Research, Development and Deployment (RD&D)>Demonstration project ",Multiple RE Sources>Power
Guidance to improve electric power operation facilitating further development of clean energy,China,2015 (March 20th),In Force ,"Information and Education>Advice/Aid in Implementation, Regulatory Instruments ",Multiple RE Sources>Power
Guideline on preparation of Renewable Energy Development Plan of provinces in 13th Five Year Plan,China,2015 (April 13th),Ended ,Policy Support>Strategic planning ,Multiple RE Sources>All
Interim management measures on renewable energy development funds ,China,2015 (April 2nd),In Force ,Economic Instruments>Fiscal/financial incentives>Grants and subsidies ,Multiple RE Sources>Power
Interim Measures for the new power access network supervision,China,2014 (Feb 28th),In Force ,Regulatory Instruments>Codes and standards ,Multiple RE Sources
Interim Measures on Renewable energy development fund Imposition and Management,China,2012 (January 1st),In Force ,Economic Instruments>Fiscal/financial incentives>Grants and subsidies ,Multiple RE Sources
International Science and Technology Cooperation Programme for New and Renewable Energy,China,2008,In Force ,"Information and Education>Information provision, Economic Instruments>Fiscal/financial incentives>Grants and subsidies, Research, Development and Deployment (RD&D), Research, Development and Deployment (RD&D)>Research programme ",Multiple RE Sources
Medium and Long Term Development Plan for Renewable Energy,China,2007,Superseded ,Policy Support>Strategic planning ,Multiple RE Sources
National Climate Change Program,China,2007,In Force ,Policy Support>Strategic planning ,Multiple RE Sources
NEA’s initiative to create new energy demonstration cities,China,2014 (Jan 8th),In Force ,"Research, Development and Deployment (RD&D)>Demonstration project ",Multiple RE Sources
Notice on pilot programmes for locally consumed renewable energy power ,China,2015 (Oct 8th),Ended ,"Research, Development and Deployment (RD&D)>Demonstration project ",Multiple RE Sources>Power
Notice on the continuous development of the promotion of application of the new energy vehicles ,China,2013 (Jan 1st),In Force ,"Policy Support>Strategic planning, Economic Instruments>Fiscal/financial incentives>Grants and subsidies ",Multiple RE Sources
Notice on vehicle and vesse tax reduction for energy saving and new energy automobiles,China,2012 (January 1st),In Force ,Economic Instruments>Fiscal/financial incentives>Tax relief ,Multiple RE Sources
Preferential Tax Policies for Renewable Energy,China,2003 (expansion 2007),In Force ,Economic Instruments>Fiscal/financial incentives>Tax relief ,"Wind, Bioenergy>Biomass for power, Multiple RE Sources, Solar>Solar photovoltaic"
Renewable Electricity Surcharge,China,2006 (amended last time 2015),In Force ,"Economic Instruments>Fiscal/financial incentives>Taxes, Economic Instruments>Fiscal/financial incentives>Feed-in tariffs/premiums ",Multiple RE Sources>All
Renewable Energy Law,China,2006 (revised in 2009),In Force ,Policy Support>Strategic planning ,Multiple RE Sources
Renewable Energy Law amendments,China,2009,In Force ,"Research, Development and Deployment (RD&D)>Research programme >Technology deployment and diffusion, Policy Support>Institutional creation, Economic Instruments>Direct investment, Economic Instruments>Direct investment>Infrastructure investments ",Multiple RE Sources
Shandong Province Village Renewable Energy Regulations,China,2008,In Force ,"Regulatory Instruments>Other mandatory requirements, Economic Instruments>Fiscal/financial incentives>Grants and subsidies ",Multiple RE Sources
The Notice of further improvement of New Energy Demonstration implementation ,China,2013 (Feb 5th),In Force ,"Policy Support, Policy Support>Strategic planning, Regulatory Instruments ","Multiple RE Sources, Multiple RE Sources>Power"
The Notice on New Energy Demonstration City and Industrial Park ,China,2012 (May 25th),In Force ,"Policy Support, Policy Support>Strategic planning, Regulatory Instruments, Policy Support>Institutional creation, Research, Development and Deployment (RD&D)>Demonstration project ",Multiple RE Sources
The Renewable Energy Tariff Surcharge Grant Funds Management Approach ,China,2012 (March 14th),In Force ,Economic Instruments>Fiscal/financial incentives>Feed-in tariffs/premiums ,"Multiple RE Sources>Power, Multiple RE Sources"
The Twelfth Five-Year Plan for National Economic and Social Development of The Peoples Republic of China,China,2011,In Force ,Policy Support>Strategic planning ,Multiple RE Sources
The Twelfth Five-Year Plan for Renewable Energy,China,2012 (August 8th),In Force ,"Policy Support>Strategic planning, Regulatory Instruments ","Multiple RE Sources, Hydropower, Wind>Offshore, Solar, Solar Thermal, Bioenergy, Geothermal, Ocean"
The Twelfth Five-Year Plan for Renewable Energy of Beijing,China,2011 (December 15th),In Force ,Policy Support>Strategic planning ,Multiple RE Sources
"Electric Coverage Expansion Plan 2013-2017 (Plan indicativo de expansión de cobertura de energía eléctrica, PIEC)",Colombia,2012,Ended ,"Policy Support, Policy Support>Strategic planning ","Multiple RE Sources, Multiple RE Sources>All"
"Electric Coverage Expansion Plan 2016-2020 (Plan Indicativo de Expansión de Cobertura de Energía Eléctrica PIEC 2016-2020, PIEC)",Colombia,2017 (Jan 19th),In Force ,"Policy Support, Policy Support>Strategic planning ","Multiple RE Sources, Multiple RE Sources>All"
Energy Plan 2050 (Plan Energético Nacional Colombia: Ideario Energético 2050),Colombia,2016 (Aug 4th),In Force ,"Policy Support, Policy Support>Strategic planning ","Multiple RE Sources, Multiple RE Sources>All"
Fund for the Electrification of Non-interconnected Zones established (Law 633) ,Colombia,2000 (Dec. 29th),In Force ,Economic Instruments>Direct investment>Infrastructure investments ,"Multiple RE Sources, Multiple RE Sources>All, Multiple RE Sources>Power"
General Environmental Law (Ley General Ambiental) - Law 99,Colombia,1993 (Dec 22nd),In Force ,"Policy Support, Policy Support>Institutional creation ",Multiple RE Sources
Generation and Transmission Expansion Plan 2013-2027 (Plan de Expansión de Referencia Generación Transmisión 2013-2027),Colombia,2013 (Dec 26th),Ended ,"Policy Support, Policy Support>Strategic planning ","Multiple RE Sources, Multiple RE Sources>All"
Generation and Transmission Expansion Plan 2014-2028 (Plan de Expansión de Referencia Generación Transmisión 2014 - 2028),Colombia,2015 (Jan 9th),Ended ,"Policy Support, Policy Support>Strategic planning ","Multiple RE Sources, Multiple RE Sources>All"
Generation and Transmission Expansion Plan 2015-2029 (Plan de Expansión de Referencia Generación Transmisión 2015 - 2029),Colombia,2016 (Feb 1st),In Force ,"Policy Support, Policy Support>Strategic planning ","Multiple RE Sources, Multiple RE Sources>All"
Law 1665-Statute of the International Renewable Energies Agency (IRENA) (Estatuto de la Agencia Internacional de Energias Renovables) ,Colombia,2013 (Jul 16th),In Force ,Policy Support ,Multiple RE Sources
"Law 1715, regulating the Integration of Non Conventional Renewable Energies to the National Energy System ",Colombia,2014 (May 13th),In Force ,"Regulatory Instruments, Economic Instruments, Economic Instruments>Fiscal/financial incentives, Economic Instruments>Fiscal/financial incentives>Tax relief, Economic Instruments>Fiscal/financial incentives>User charges, Economic Instruments>Market-based instruments, Economic Instruments>Direct investment ","Multiple RE Sources, Multiple RE Sources>All"
Law 697 on the promotion of the efficient and rational use of energy and alternative energies ,Colombia,2001 (October 3rd),In Force ,Policy Support ,"Multiple RE Sources, Multiple RE Sources>All"
National Energy Plan 2006-2025 ,Colombia,2007,Superseded ,Policy Support ,"Multiple RE Sources, Multiple RE Sources>All"
Programme for Rational and Efficient Use of Energy and Other Forms of Non-Conventional Energy (Resolution 180919) ,Colombia,2010 (June 1st),In Force ,Policy Support>Strategic planning ,Multiple RE Sources>All
Rural Electrification Fund established ,Colombia,2003,In Force ,Economic Instruments>Direct investment>Infrastructure investments ,"Multiple RE Sources, Multiple RE Sources>Power"
Standardization Program of Electrical Networks ,Colombia,2003 (June 26th),In Force ,Economic Instruments>Direct investment>Infrastructure investments ,"Multiple RE Sources, Multiple RE Sources>Power"
Tax exemptions and incentives for ethanol producers (Law 788) ,Colombia,2002,In Force ,"Economic Instruments, Economic Instruments>Fiscal/financial incentives>Tax relief, Economic Instruments>Fiscal/financial incentives>Feed-in tariffs/premiums, Economic Instruments>Fiscal/financial incentives>Taxes ",Multiple RE Sources
Declaration on Environmental Protection,Croatia,1992 (June 5th),In Force ,Policy Support>Strategic planning ,Multiple RE Sources
Energy Act 2012,Croatia,2012 (November 8th),In Force ,"Policy Support>Strategic planning, Regulatory Instruments ",Multiple RE Sources
Environment Protection and Energy Efficiency Fund (EPEEF),Croatia,2003,In Force ,"Policy Support>Strategic planning, Policy Support, Economic Instruments>Fiscal/financial incentives>Grants and subsidies, Economic Instruments>Fiscal/financial incentives>Loans, Economic Instruments>Fiscal/financial incentives>Taxes, Economic Instruments ",Multiple RE Sources
Environmental Protection Act,Croatia,2007,In Force ,"Policy Support, Policy Support>Strategic planning ",Multiple RE Sources
National Energy Strategy 2009 – 2020,Croatia,2009,In Force ,Policy Support>Strategic planning ,Multiple RE Sources
Ordinance on Acquiring the Status of Eligible Electricity Producer,Croatia,2007,In Force ,"Regulatory Instruments>Codes and standards>Sectoral standards, Regulatory Instruments ",Multiple RE Sources
Ordinance on the Use of Renewable Energy Sources and Cogeneration,Croatia,2007,In Force ,"Regulatory Instruments, Policy Support ",Multiple RE Sources
Regulation on Incentive Fees to Promote Electricity Production from REs and cogeneration,Croatia,2001,Superseded ,Economic Instruments>Fiscal/financial incentives>User charges ,Multiple RE Sources
Regulation on the Minimum Share of Electricity Produced from RES and Cogeneration Whose Production is Incentivised,Croatia,2007,In Force ,"Policy Support, Regulatory Instruments>Other mandatory requirements, Regulatory Instruments ",Multiple RE Sources
Tariff System for the Production of Electricity from RES and Cogeneration,Croatia,2012 (May),In Force ,Economic Instruments>Fiscal/financial incentives>Feed-in tariffs/premiums ,Multiple RE Sources
Grand Schemes for Energy Efficiency and Renewable Energy Sources,Cyprus,2012 (June),In Force ,Economic Instruments>Fiscal/financial incentives>Grants and subsidies ,Multiple RE Sources
Law on the Promotion of Renewable Energy and Energy Efficiency ,Cyprus,2003 (August 1st),In Force ,"Policy Support>Institutional creation, Economic Instruments>Fiscal/financial incentives>User charges ",Multiple RE Sources>All
Law Regulating the Electricity Market (LREM) ,Cyprus,2003(July 25th),In Force ,Policy Support ,"Multiple RE Sources>All, Multiple RE Sources"
National Renewable Energy Action Plan (NREAP),Cyprus,2010,In Force ,Policy Support>Strategic planning ,"Multiple RE Sources, Multiple RE Sources>All, Multiple RE Sources>Cooling, Multiple RE Sources>Heating, Multiple RE Sources>Power"
Support Scheme for Energy Conservation and the Promotion of Renewable Energy Sources (SSEEA1 and SSEEA2) ,Cyprus,2004,Ended ,"Economic Instruments>Fiscal/financial incentives>Feed-in tariffs/premiums, Economic Instruments>Fiscal/financial incentives>Grants and subsidies ","Multiple RE Sources>All, Solar>Solar photovoltaic, Wind>Onshore, Bioenergy>Biofuels for transport, Bioenergy, Solar Thermal, Geothermal"
1st National Programme for Economical Energy Management and Use of Renewable and Secondary Energy Resources,Czech Republic,2002,Superseded ,Policy Support ,Multiple RE Sources
2nd National programme for the energy management and the use of renewable sources of energy,Czech Republic,2006,Ended ,,"Multiple RE Sources, Bioenergy>Biofuels for transport"
Act on Promoted Energy Sources and on Amendment of Some Laws (Act No. 165/2012 Coll.),Czech Republic,2012,In Force ,"Economic Instruments>Fiscal/financial incentives, Regulatory Instruments ","Multiple RE Sources>Heating, Multiple RE Sources>CHP"
Act on the Promotion of the Use of Renewable Energy Sources (Act No. 180/2005 Coll.),Czech Republic,2005 (amended in 2006 and 2011),Superseded ,"Economic Instruments>Fiscal/financial incentives>Feed-in tariffs/premiums, Economic Instruments, Economic Instruments>Fiscal/financial incentives>Taxes ",Multiple RE Sources>All
Building Retrofit Subsidies: PANEL programme,Czech Republic,2001,Superseded ,"Economic Instruments, Economic Instruments>Fiscal/financial incentives, Economic Instruments>Fiscal/financial incentives>Loans ","Multiple RE Sources>Power, Multiple RE Sources>Heating"
EFEKT - State programme to promote energy savings and use of renewable and secondary energy sources ,Czech Republic,,In Force ,"Economic Instruments>Fiscal/financial incentives, Information and Education>Advice/Aid in Implementation, Information and Education>Information provision, Information and Education>Professional training and qualification ",Multiple RE Sources>All
Energy Act (Act No. 458/2000 Coll.),Czech Republic,2001,In Force ,"Regulatory Instruments, Policy Support ",Multiple RE Sources>All
Energy Management Act (Act No. 406/2000 Coll.) ,Czech Republic,2001,In Force ,"Regulatory Instruments>Codes and standards, Economic Instruments>Fiscal/financial incentives ",Multiple RE Sources>All
National Climate Change Plan / Climate Protection Policy,Czech Republic,2014,Planned ,Policy Support ,Multiple RE Sources>All
National Renewable Action Plan (NREAP),Czech Republic,2010,In Force ,"Policy Support, Policy Support>Strategic planning ","Multiple RE Sources, Multiple RE Sources>All, Multiple RE Sources>CHP, Multiple RE Sources>Cooling, Multiple RE Sources>Heating, Multiple RE Sources>Power"
Operational Programme Environment (2014-2020): Sustainable Use of Energy Sources,Czech Republic,2014,Planned ,"Economic Instruments, Economic Instruments>Fiscal/financial incentives, Economic Instruments>Fiscal/financial incentives>Grants and subsidies ",Multiple RE Sources
Secondary Legislation on the Methodology for the Purchase of Electricity From Renewables and CHP,Czech Republic,2001,Superseded ,Regulatory Instruments ,"Multiple RE Sources>Power, Multiple RE Sources>CHP, Multiple RE Sources>All"
State Energy Policy,Czech Republic,2004 (last amended May 2015),In Force ,Regulatory Instruments ,Multiple RE Sources
Tax exemption for renewable energy use,Czech Republic,2005,In Force ,"Economic Instruments>Fiscal/financial incentives>Tax relief, Economic Instruments>Fiscal/financial incentives ","Wind>Onshore, Bioenergy>Biomass for heat, Bioenergy>Biomass for power, Geothermal>Heat, Geothermal>Power, Hydropower, Multiple RE Sources>Heating, Multiple RE Sources>Power, Solar>Solar photovoltaic"
Diversification of Energy enterprises to Increase resilience to Climate Changes,Democratic Republic of the Congo,,In Force ,Regulatory Instruments>Auditing ,Multiple RE Sources>All
Law No. 14/011 (Electricity Sector) ,Democratic Republic of the Congo,2014,In Force ,"Regulatory Instruments, Regulatory Instruments>Auditing ","Multiple RE Sources, Multiple RE Sources>All"
National Electrification Fund ,Democratic Republic of the Congo,2014,In Force ,"Economic Instruments, Economic Instruments>Direct investment, Economic Instruments>Direct investment>Infrastructure investments ","Multiple RE Sources, Multiple RE Sources>All"
A Visionary Danish Energy Policy 2025,Denmark,2007,Superseded ,Policy Support>Strategic planning ,Multiple RE Sources
Baltic Energy Efficiency Group (BEEG),Denmark,1998,Ended ,"Policy Support>Strategic planning, Information and Education>Information provision, Policy Support>Institutional creation ","Multiple RE Sources>CHP, Multiple RE Sources>All"
Danish Energy Agreement for 2008-2011,Denmark,2008,Superseded ,"Research, Development and Deployment (RD&D)>Research programme >Technology deployment and diffusion, Economic Instruments>Fiscal/financial incentives>Tax relief, Economic Instruments>Fiscal/financial incentives>Feed-in tariffs/premiums, Policy Support>Strategic planning, Economic Instruments>Direct investment>Infrastructure investments, Research, Development and Deployment (RD&D)>Research programme >Technology development ","Wind>Onshore, Bioenergy>Biomass for power, Multiple RE Sources>Heating, Wind>Offshore, Wind"
Danish Energy Agreement for 2012-2020,Denmark,2012 (March),In Force ,"Economic Instruments, Economic Instruments>Fiscal/financial incentives, Policy Support, Policy Support>Strategic planning, Regulatory Instruments, Research, Development and Deployment (RD&D) ","Bioenergy, Wind, Multiple RE Sources>Heating, Multiple RE Sources>Power, Geothermal"
District Heating and CHP,Denmark,1980s,In Force ,Policy Support>Strategic planning ,Multiple RE Sources>CHP
Electricity Reform Agreement - Energy Supply Act,Denmark,1999,Unknown ,Policy Support>Strategic planning ,Multiple RE Sources>Power
Electricity Supply Act,Denmark,1976,In Force ,Regulatory Instruments ,Multiple RE Sources>Power
Energy Research Programme,Denmark,1976,In Force ,"Economic Instruments>Fiscal/financial incentives, Research, Development and Deployment (RD&D)>Research programme >Technology development, Economic Instruments>Fiscal/financial incentives>Grants and subsidies ",Multiple RE Sources>Power
Energy Strategy 2025,Denmark,2005,Superseded ,Policy Support>Strategic planning ,Multiple RE Sources
Energy Strategy 2050,Denmark,2011 (February),In Force ,"Policy Support>Strategic planning, Research, Development and Deployment (RD&D)>Research programme >Technology development, Economic Instruments>Fiscal/financial incentives>Taxes ","Multiple RE Sources, Multiple RE Sources>All, Multiple RE Sources>CHP, Multiple RE Sources>Cooling, Multiple RE Sources>Heating, Multiple RE Sources>Power, Multiple RE Sources>Renewable heat pumps"
Heat Supply Act,Denmark,1979,In Force ,"Regulatory Instruments>Codes and standards, Regulatory Instruments>Other mandatory requirements ",Multiple RE Sources>Heating
Legislation on Electricity Favourable to Renewables (Electricity Reform Agreement),Denmark,2000,Ended ,Economic Instruments>Market-based instruments>Green certificates ,Multiple RE Sources>Power
National RD&D Strategies for Renewable Energy Technologies,Denmark,2003,In Force ,"Research, Development and Deployment (RD&D)>Research programme >Technology deployment and diffusion, Research, Development and Deployment (RD&D)>Demonstration project, Research, Development and Deployment (RD&D)>Research programme >Technology development ",Multiple RE Sources
National Renewable Energy Action Plan (NREAP),Denmark,2010,In Force ,"Policy Support, Policy Support>Strategic planning ","Multiple RE Sources, Multiple RE Sources>All, Multiple RE Sources>CHP, Multiple RE Sources>Cooling, Multiple RE Sources>Heating, Multiple RE Sources>Power"
New Rules for Payment of Green Electricity - Adaptation of the Electricity Act Reforms,Denmark,2001,Superseded ,"Economic Instruments>Market-based instruments>Green certificates, Economic Instruments>Fiscal/financial incentives ",Multiple RE Sources>Power
Promotion of Renewable Energy Act,Denmark,2009,In Force ,"Regulatory Instruments, Economic Instruments>Fiscal/financial incentives>Feed-in tariffs/premiums, Economic Instruments>Fiscal/financial incentives>Grants and subsidies, Economic Instruments>Fiscal/financial incentives>Loans, Research, Development and Deployment (RD&D) ","Wind>Onshore, Bioenergy>Biomass for power, Geothermal, Hydropower, Multiple RE Sources, Ocean, Solar, Wind>Offshore"
Regulation on Net-metering for the Producers of Electricity for Own Needs,Denmark,2012 (Nov 20th),In Force ,Regulatory Instruments ,"Multiple RE Sources>All, Multiple RE Sources"
Subsidies for Renewable Electricity Generation,Denmark,2004,Ended ,Economic Instruments>Fiscal/financial incentives>Grants and subsidies ,Multiple RE Sources>Power
Renewable Energies Incentive Law 57-07,Dominican Republic,2007,In Force ,"Policy Support, Economic Instruments>Fiscal/financial incentives>Tax relief, Research, Development and Deployment (RD&D)>Research programme >Technology deployment and diffusion ",Multiple RE Sources
Law on the Energy Sector (Ley de Régimen del Sector Eléctrico),Ecuador,1996 (Sep 18th),In Force ,"Regulatory Instruments, Economic Instruments, Economic Instruments>Fiscal/financial incentives>Tax relief ",Multiple RE Sources
Egypt Renewable Energy Law (Decree No 203/2014) ,Egypt,2015,In Force ,"Policy Support, Economic Instruments>Fiscal/financial incentives>Feed-in tariffs/premiums, Economic Instruments, Economic Instruments>Market-based instruments ","Multiple RE Sources>Power, Solar>Solar photovoltaic, Wind"
Egypt renewable energy tax incentives (Presidential Decree No 17/2015),Egypt,2015,In Force ,Economic Instruments>Fiscal/financial incentives>Tax relief ,Multiple RE Sources>All
Egyptian Solar Plan,Egypt,2012 (July),In Force ,"Economic Instruments>Fiscal/financial incentives>Grants and subsidies, Policy Support>Strategic planning, Regulatory Instruments>Other mandatory requirements ","Multiple RE Sources>Power, Wind, Solar"
New National Renewable Energy Strategy ,Egypt,2008 (Feb),In Force ,"Regulatory Instruments>Other mandatory requirements, Economic Instruments>Fiscal/financial incentives>Grants and subsidies, Policy Support>Strategic planning ","Wind, Multiple RE Sources>Power"
Renewable energy custom tax reduction for renewable equipment,Egypt,2014 (Sept 20th),In Force ,Economic Instruments>Fiscal/financial incentives>Tax relief ,"Multiple RE Sources>All, Multiple RE Sources"
Development of the environmental infrastructure,Estonia,2004,Ended ,,Multiple RE Sources
Electricity Market Act 2003,Estonia,2003 (amended 2004),Superseded ,"Regulatory Instruments, Economic Instruments>Fiscal/financial incentives>Feed-in tariffs/premiums ","Wind, Bioenergy>Biomass for power, Hydropower, Multiple RE Sources>Power"
Electricity Market Act 2007,Estonia,2007,In Force ,"Regulatory Instruments, Economic Instruments>Fiscal/financial incentives>Feed-in tariffs/premiums, Regulatory Instruments>Other mandatory requirements ","Wind, Bioenergy>Biomass for power, Hydropower, Multiple RE Sources>All"
Long-term development plan for the fuel and energy sector to 2015,Estonia,2004,Ended ,Policy Support>Strategic planning ,Multiple RE Sources
National Development Plan of the Energy Sector until 2020 ,Estonia,2009 (June 15th),In Force ,"Policy Support>Strategic planning, Research, Development and Deployment (RD&D) ",Multiple RE Sources>All
National Energy Technology Development Plan ,Estonia,2008 (June 1st),In Force ,"Research, Development and Deployment (RD&D)>Research programme ",Multiple RE Sources>All
National Renewable Energy Action Plan (NREAP),Estonia,2010 (January 1st),In Force ,"Policy Support>Strategic planning, Policy Support ","Multiple RE Sources, Multiple RE Sources>All, Multiple RE Sources>CHP, Multiple RE Sources>Cooling, Multiple RE Sources>Heating, Multiple RE Sources>Power"
Wider use of renewable energy sources in energy production ,Estonia,2009 (March 24th),In Force ,Economic Instruments>Direct investment>Infrastructure investments ,"Multiple RE Sources>CHP, Multiple RE Sources>Heating"
Climate Resilience and Green Economy Strategy (CRGE) ,Ethiopia,2012,In Force ,"Policy Support, Policy Support>Strategic planning ","Hydropower, Multiple RE Sources"
Ethiopian Rural Energy Development and Promotion Centre (EREDPC) ,Ethiopia,2002,In Force ,"Research, Development and Deployment (RD&D) ",Multiple RE Sources
Growth and Transformation Plan (GTP) 2011-2015,Ethiopia,2011,In Force ,Policy Support>Strategic planning ,"Multiple RE Sources, Multiple RE Sources>Power"
National Energy Policy 2013 ,Ethiopia,2013 (Feb),In Force ,"Policy Support, Policy Support>Strategic planning ","Multiple RE Sources, Multiple RE Sources>All, Hydropower"
Scaling-Up Renewable Energy Program for Ethiopia (SREP) ,Ethiopia,2012,In Force ,"Policy Support, Policy Support>Strategic planning, Economic Instruments>Fiscal/financial incentives>Loans, Economic Instruments>Fiscal/financial incentives>Grants and subsidies ","Hydropower, Multiple RE Sources, Geothermal, Bioenergy"
The Rural Electrification Fund ,Ethiopia,2003,In Force ,"Policy Support>Institutional creation, Policy Support, Economic Instruments>Fiscal/financial incentives>Loans, Economic Instruments>Fiscal/financial incentives>Grants and subsidies ","Multiple RE Sources, Multiple RE Sources>Power"
2030 Climate and Energy Framework,European Union,2014 (October 24th),In Force ,Policy Support>Strategic planning ,Multiple RE Sources>All
3 x 20 by 2020: Europes Climate Change Opportunity,European Union,2008,In Force ,Policy Support>Strategic planning ,"Multiple RE Sources>Power, Multiple RE Sources>All, Multiple RE Sources>Heating, Multiple RE Sources>CHP"
An Energy Policy for Europe,European Union,2007,In Force ,Policy Support>Strategic planning ,"Multiple RE Sources>Power, Multiple RE Sources>All, Multiple RE Sources>CHP, Multiple RE Sources>Heating"
Biomass Action Plan,European Union,2005,In Force ,Policy Support>Strategic planning ,"Multiple RE Sources>Power, Multiple RE Sources>All, Multiple RE Sources>CHP, Multiple RE Sources>Heating"
Directive 2009/28/EC on the Promotion of Electricity Produced from Renewable Energy Sources,European Union,2009,In Force ,"Regulatory Instruments>Other mandatory requirements, Regulatory Instruments, Economic Instruments>Market-based instruments ",Multiple RE Sources>All
Directive on the Taxation of Energy Products and Electricity,European Union,2004,In Force ,Economic Instruments>Fiscal/financial incentives>Taxes ,"Multiple RE Sources>Power, Multiple RE Sources>All, Multiple RE Sources>CHP, Multiple RE Sources>Heating"
European Council Action Plan (2007-2009) Energy Policy for Europe,European Union,2007,In Force ,Policy Support>Strategic planning ,"Multiple RE Sources>Power, Multiple RE Sources>All, Multiple RE Sources>CHP, Multiple RE Sources>Heating"
Intelligent Energy-Europe Programme (2007-13),European Union,2007,In Force ,"Research, Development and Deployment (RD&D)>Research programme >Technology deployment and diffusion, Economic Instruments>Fiscal/financial incentives>Grants and subsidies, Information and Education ","Multiple RE Sources>Power, Multiple RE Sources>All, Multiple RE Sources>CHP, Multiple RE Sources>Heating"
Renewable Energy Road Map - Renewable energies in the 21st century: building a more sustainable future,European Union,2007,In Force ,Policy Support>Strategic planning ,Multiple RE Sources
Revised State Aid Guidelines for Environmental Protection,European Union,2008,In Force ,"Regulatory Instruments, Regulatory Instruments>Monitoring ",Multiple RE Sources
Seventh Framework Programme for Research and Technological Development (FP7),European Union,2007,In Force ,"Research, Development and Deployment (RD&D)>Research programme >Technology deployment and diffusion, Economic Instruments>Fiscal/financial incentives>Grants and subsidies, Research, Development and Deployment (RD&D), Research, Development and Deployment (RD&D)>Demonstration project, Research, Development and Deployment (RD&D)>Research programme >Technology development ","Multiple RE Sources>Power, Multiple RE Sources>All, Multiple RE Sources>CHP, Multiple RE Sources>Heating"
Strategic Energy Technology Plan (SET-Plan): Towards a low carbon future,European Union,2007,In Force ,"Policy Support>Strategic planning, Policy Support>Institutional creation ","Multiple RE Sources>Power, Multiple RE Sources>All, Multiple RE Sources>CHP, Multiple RE Sources>Heating"
White Paper on renewable sources of energy,European Union,1997,Superseded ,Policy Support>Strategic planning ,"Multiple RE Sources>Power, Multiple RE Sources>All, Multiple RE Sources>CHP, Multiple RE Sources>Heating"
National Energy Policy 2013,Fiji,2014,In Force ,"Economic Instruments, Information and Education, Policy Support, Regulatory Instruments, Research, Development and Deployment (RD&D), Voluntary Approaches ","Multiple RE Sources, Multiple RE Sources>All, Bioenergy>Biofuels for transport, Bioenergy"
